,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_width,screen_height,screen_revolution,battery,webcam,weight,price,screen_full
0,Laptop Lenovo V15 G4 AMN 82YU00V9VN (Ryzen™ 5 7520U | 16GB | 512GB | AMD Radeon™ Graphics  | 15.6 inch FHD | Win 11 | Xám),Lenovo,AMD,Ryzen 5,16.0,24.0,amd,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,38.0,1,1.65,14290000.0,1920x1080
1,Laptop Lenovo ThinkBook 16 G6 ABP 21KK0061VN (Ryzen 7-7730U | 16GB | 512GB | AMD Radeon | 16 inch WQXGA | Win 11 | Xám),Lenovo,AMD,Ryzen 7,16.0,64.0,amd,SSD,512,Windows 11,16,2560.0,1600.0,FHD,71.0,1,1.7,20990000.0,2560x1600
2,"Laptop Lenovo Yoga 6 13ABR8 (Ryzen 5-7530U, Ram 8GB, 256GB SSD, AMD Radeon™ Graphics, 13.3inch WUXGA , Win 11, Xanh đậm)",Lenovo,AMD,Ryzen 5,8.0,12.0,amd,SSD,0,Windows 11,13.3,1920.0,1200.0,WUXGA,59.0,1,1.37,15990000.0,1920 x 1200
3,"Laptop Lenovo Yoga 7 16ARP8 (Ryzen™ 5-7535U, Ram 8GB, 512GB SSD, AMD Radeon 660M, 16inch WUXGA, Win 11, Xám)",Lenovo,AMD,Ryzen 5,8.0,12.0,amd,SSD,0,Windows 11,16,1920.0,1200.0,WUXGA,71.0,0,2.01,17990000.0,1920 x 1200
4,"Laptop Lenovo Yoga 6 13ABR8 (Ryzen 7-7730U, Ram 16GB, 512GB SSD, AMD Radeon™ Graphics, 13.3inch WUXGA , Win 11, Xanh đậm)",Lenovo,AMD,Ryzen 7,16.0,24.0,amd,SSD,0,Windows 11,13.3,1920.0,1200.0,WUXGA,59.0,1,1.37,19990000.0,1920 x 1200
5,Laptop ASUS Vivobook 15X OLED M3504YA-L1268W (AMD Ryzen™ 5-7530U | 16GB | 512GB | Intel Iris Xᵉ | 15.6inch FHD OLED | Win 11 | Đen),Asus,AMD,Ryzen 5,16.0,24.0,amd,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,50.0,1,1.6,18990000.0,1920 x 1080
6,Laptop Lenovo ThinkBook 14 G6 ABP 21KJ005GVN (Ryzen™ 5-7530U | 16GB | 512GB | AMD Radeon™ Graphics | 14 inch WUXGA | Win 11 | Xám),Lenovo,AMD,Ryzen 5,16.0,64.0,amd,SSD,512,Windows 11,14.0,1920.0,1200.0,WUXGA,45.0,1,1.38,17490000.0,1920x1200
7,"Laptop Asus Zenbook 14 OLED UM3402YA - WS74T (Ryzen™ 7-7730U, Ram 16GB, SSD 512GB, 14inch 2.8K OLED)",Asus,AMD,Ryzen 7,16.0,24.0,amd,SSD,0,Windows 11,14,2880.0,1800.0,2.8K,75.0,1,1.35,22990000.0,2880x1800
8,Laptop ASUS Vivobook 15X OLED M3504YA-L1332W (AMD Ryzen™ 7-7730U | 16GB | 512GB | Intel Iris Xᵉ | 15.6inch FHD | Win 11 | Đen),Asus,AMD,Ryzen 7,16.0,16.0,amd,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,50.0,1,1.6,18990000.0,1920 x 1080
9,"Laptop Lenovo ThinkPad E16 Gen 1 (Ryzen 5-7530U, Ram 8GB, 512GB SSD, AMD Radeon Graphics,  16 inch WUXGA,  Win 11, Đen)",Lenovo,AMD,Ryzen 5,8.0,12.0,intel,SSD,512,Windows 11,16.0,1920.0,1200.0,WUXGA,47.0,1,1.97,19990000.0,1920x1200
